,SKU,Category,Price,Brand,Model,linkofproduct
45,Panasonic 147 cm (58 inches) 4K Ultra HD Certified Android Smart LED TV TH-58HX450DX (Black) (2020 Model),Smart Televisions,"₹ 45,990.00",,,https://www.amazon.in/Panasonic-inches-Certified-Android-TH-58HX450DX/dp/B087K116SF/ref=sr_1_41?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-41
46,Sony Bravia 80.1 cm (32 inches) Full HD LED Smart TV KLV-32W672G (Black),Smart Televisions,"₹ 29,990.00",,,https://www.amazon.in/Sony-Bravia-inches-Smart-KLV-32W672G/dp/B07QB77C92/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-42
47,Sanyo 126 cm (50 inches) Kaizen Series 4K Ultra HD Certified Android LED TV XT-50UHD4S (Black) (2020 Model),Smart Televisions,"₹ 32,999.00",,,https://www.amazon.in/Sanyo-inches-Certified-Android-XT-50UHD4S/dp/B08DS94TQ4/ref=sr_1_43?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-43
48,Philips 146 cm (58 inches) 6600 Series 4K Ultra HD LED Smart TV 58PUT6604/94 (Black) (2020 Model),Smart Televisions,,,,https://www.amazon.in/Philips-inches-Ultra-58PUT6604-94/dp/B08619L9J8/ref=sr_1_44?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-44
49,Sony Bravia 108 cm (43 inches) 4K Ultra HD Certified Android LED TV 43X7500H (Black) (2020 Model),Smart Televisions,"₹ 52,990.00",,,https://www.amazon.in/Sony-Bravia-Certified-Android-43X7500H/dp/B084T8NJSQ/ref=sr_1_45?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-45
50,LG 164 cm (65 inches) 4K Ultra HD Smart IPS LED TV 65UM7290PTD (Ceramic Black) (2020 Model),Smart Televisions,"₹ 82,990.00",,,https://www.amazon.in/LG-inches-Ultra-65UM7290PTD-Ceramic/dp/B08CBZ4JQ2/ref=sr_1_46?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-46
51,Kevin 80 cm (32 Inches) HD Ready LED Smart TV K32CV338H (Black) (2019 Model),Smart Televisions,"₹ 11,499.00",,,https://www.amazon.in/Kevin-inches-Ready-Smart-K32CV338H/dp/B073VN6PRD/ref=sr_1_47?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-47
52,Samsung 125 cm (50 Inches) Wondertainment Series Ultra HD LED Smart TV UA50TUE60AKXXL (Titan Gray) (2020 model),Smart Televisions,"₹ 46,999.00",,,https://www.amazon.in/Samsung-Inches-Wondertainment-Ultra-UA50TUE60AKXXL/dp/B0872CMY16/ref=sr_1_48?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-48
53,Shinco 80 cm (32 Inches) HD Ready Smart LED TV with Uniwall (Black) (2019 Model),Smart Televisions,"₹ 10,499.00",,,https://www.amazon.in/Shinco-Inches-Ready-SO328AS-Uniwall/dp/B07TXM1MLH/ref=sr_1_49?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-49
54,CloudWalker 80 cm (32 inches) HD Ready Smart LED TV Cloud X3 32SHX3 (Black) (2019 Model),Smart Televisions,"₹ 10,990.00",,,https://www.amazon.in/CloudWalker-inches-Ready-Smart-32SHX3/dp/B07SY94B39/ref=sr_1_50?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-50
55,TCL 108 cm (43 inches) Full HD Certified Android Smart LED TV 43S6500FS (Black) (2020 Model),Smart Televisions,,,,https://www.amazon.in/TCL-inches-Smart-43S6500FS-Black/dp/B07Q29HLB2/ref=sr_1_51?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-51
56,Hisense 80 cm (32 inches) HD Ready Smart Certified Android LED TV 32A56E (Black) (2020 Model),Smart Televisions,,,,https://www.amazon.in/Hisense-inches-Certified-Android-32A56E/dp/B08BXY3GZ7/ref=sr_1_52?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-52
57,CloudWalker 165 cm (65 Inches) 4K Ultra HD Smart LED Screen 65SUA7 (Black) with Keyboard & Mouse,Smart Televisions,"₹ 47,490.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A05047861QNLBEO0J5G8I&url=%2FCloudWalker-Inches-Ultra-Screen-65SUA7%2Fdp%2FB08135V1SS%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444512%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-53-spons%26psc%3D1&qualifier=1604444522&id=2224435104863147&widgetName=sp_btf_browse
58,TCL 138.78 cm (55 inches)  AI 4K UHD Certified Android Smart LED TV 55P8 (Black) (2019 Model),Smart Televisions,"₹ 34,999.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg3_1?ie=UTF8&adId=A005130611EOM9G22AGU7&url=%2FTCL-138-78-Certified-Android-55P8%2Fdp%2FB07TMRFDP8%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444522%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-49-spons%26psc%3D1&qualifier=1604444535&id=4146947728222964&widgetName=sp_atf_browse
59,OnePlus Y Series 80 cm (32 inches) HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),Smart Televisions,"₹ 13,990.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg3_1?ie=UTF8&adId=A08805473Q8ZCGCAGSKOP&url=%2FOnePlus-inches-Ready-Android-32Y1%2Fdp%2FB08B42LWKN%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444522%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-50-spons%26psc%3D1&qualifier=1604444535&id=4146947728222964&widgetName=sp_atf_browse
60,Sony Bravia 123 cm (49 inches) 4K Ultra HD Certified Android LED TV 49X7500H (Black) (2020 Model),Smart Televisions,"₹ 75,400.00",,,https://www.amazon.in/Sony-Bravia-Certified-Android-49X7500H/dp/B084T934H8/ref=sr_1_51?dchild=1&fst=as%3Aoff&qid=1604444522&rnid=1389396031&s=electronics&sr=1-51
61,TOSHIBA 139 cm (55 inches) Vidaa OS Series 4K Ultra HD Smart LED TV 55U5050 (Black) (2020 Model) | with Dolby Vision and Atmos,Smart Televisions,"₹ 38,999.00",,,https://www.amazon.in/TOSHIBA-inches-Vidaa-55U5050-Vision/dp/B08BXY3DXD/ref=sr_1_52?dchild=1&fst=as%3Aoff&qid=1604444522&rnid=1389396031&s=electronics&sr=1-52
